Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 25,respondent_id,survey_id,cnt
State Chiropractic Association,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,,12178405866,295082383,1
State Licensing Board,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,,12178405866,295082383,2
One Chiropractic,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),Over 40 years,61 - 70 years,Male,White/Caucasian,,12178418264,295082383,1
National Board,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,51 - 60 years,Male,White/Caucasian,,12178023831,295082383,1
State Chiropractic Association,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,51 - 60 years,Male,White/Caucasian,,12178023831,295082383,2
State Licensing Board,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,51 - 60 years,Male,White/Caucasian,,12178023831,295082383,3
International Chiropractic Association (ICA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,Prefer not to answer,,12178427308,295082383,1
American Chiropractic Association (ACA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),Over 40 years,71 - 80 years,Male,White/Caucasian,,12178424264,295082383,1
National Board,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),Over 40 years,71 - 80 years,Male,White/Caucasian,,12178424264,295082383,2
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),Over 40 years,71 - 80 years,Male,White/Caucasian,,12178424264,295082383,3
State Licensing Board,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),Over 40 years,71 - 80 years,Male,White/Caucasian,,12178424264,295082383,4
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,31 - 40 years,Male,White/Caucasian,,12178428494,295082383,1
Foundation for Chiropractic Progress,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Male,Prefer not to answer,2.,12178386272,295082383,1
National Board,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Male,Prefer not to answer,2.,12178386272,295082383,2
One Chiropractic,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Male,Prefer not to answer,2.,12178386272,295082383,3
State Chiropractic Association,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Male,Prefer not to answer,2.,12178386272,295082383,4
State Licensing Board,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Male,Prefer not to answer,2.,12178386272,295082383,5
American Chiropractic Association (ACA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Female,White/Caucasian,,12178382065,295082383,1
Forward Thinking Chiropractic Alliance,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Female,White/Caucasian,,12178382065,295082383,2
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Female,White/Caucasian,,12178382065,295082383,3
American Chiropractic Association (ACA),Solo practitioner,College faculty,21 - 30 years,61 - 70 years,Male,White/Caucasian,3.,12178385305,295082383,1
State Chiropractic Association,Solo practitioner,College faculty,21 - 30 years,61 - 70 years,Male,White/Caucasian,3.,12178385305,295082383,2
International Chiropractic Association (ICA),Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Female,White/Caucasian,1. Vitalistic,12178409969,295082383,1
One Chiropractic,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Female,White/Caucasian,1. Vitalistic,12178409969,295082383,2
State Chiropractic Association,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Female,White/Caucasian,1. Vitalistic,12178409969,295082383,3
Foundation for Chiropractic Progress,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,,12178471025,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,,12178471025,295082383,2
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Male,White/Caucasian,1. Vitalistic,12178385126,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,,12178455251,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,1. Vitalistic,12178433452,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,2.,12178395567,295082383,1
International Chiropractic Pediatric Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12177989481,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12177989481,295082383,2
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12178292580,295082383,1
International Chiropractic Pediatric Association,Solo practitioner,Young professional (Doctor of Chiropractic with less than 5 years in practice),Less than 5 years,31 - 40 years,Male,White/Caucasian,,12178513931,295082383,1
Federation of Chiropractic Licensing Boards,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Male,White/Caucasian,,12178499500,295082383,1
International Chiropractic Association (ICA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Male,White/Caucasian,,12178499500,295082383,2
International Chiropractic Pediatric Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Male,White/Caucasian,,12178499500,295082383,3
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Male,White/Caucasian,,12178499500,295082383,4
State Licensing Board,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Male,White/Caucasian,,12178499500,295082383,5
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Male,White/Caucasian,2.,12178495060,295082383,1
State Chiropractic Association,Group member practitioner (single location),Young professional (Doctor of Chiropractic with less than 5 years in practice),Less than 5 years,31 - 40 years,Female,White/Caucasian,5. Multi-Disciplinary / Integrated,12178412321,295082383,1
"All Women Chiropractic Association(s) - i.e. Women DCs, League of Chiropractic Women, etc.",Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,61 - 70 years,Female,White/Caucasian,,12178534025,295082383,1
International Chiropractic Pediatric Association,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,,,12178535350,295082383,1
State Chiropractic Association,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,,,12178535350,295082383,2
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,Hispanic/Latino,,12178531666,295082383,1
International Chiropractic Association (ICA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,,12178545303,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),Over 40 years,61 - 70 years,Male,White/Caucasian,,12178553279,295082383,1
Federation of Chiropractic Licensing Boards,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,Hispanic/Latino,3.,12178418344,295082383,1
Foundation for Chiropractic Progress,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,Hispanic/Latino,3.,12178418344,295082383,2
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,Hispanic/Latino,3.,12178418344,295082383,3
State Licensing Board,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,Hispanic/Latino,3.,12178418344,295082383,4
American Chiropractic Association (ACA),,Vendor/Business partner,Over 40 years,71 - 80 years,Male,White/Caucasian,,12178571881,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,,12178554798,295082383,1
National Board,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,31 - 40 years,Male,White/Caucasian,,12178582040,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,31 - 40 years,Male,White/Caucasian,,12178582040,295082383,2
State Licensing Board,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,31 - 40 years,Male,White/Caucasian,,12178582040,295082383,3
State Chiropractic Association,None of the above,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Prefer not to answer,Prefer not to answer,,12178587168,295082383,1
American Chiropractic Association (ACA),Integrated / multidisciplinary facility,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12177637259,295082383,1
State Chiropractic Association,Integrated / multidisciplinary facility,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12177637259,295082383,2
American Chiropractic Association (ACA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,41 - 50 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12178509757,295082383,1
Forward Thinking Chiropractic Alliance,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,41 - 50 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12178509757,295082383,2
American Chiropractic Association (ACA),Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Female,White/Caucasian,5. Multi-Disciplinary / Integrated,12178533812,295082383,1
State Chiropractic Association,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Female,White/Caucasian,5. Multi-Disciplinary / Integrated,12178533812,295082383,2
American Chiropractic Association (ACA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Male,White/Caucasian,,12178602404,295082383,1
International Chiropractic Association (ICA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Male,White/Caucasian,,12178602404,295082383,2
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),Over 40 years,61 - 70 years,Male,White/Caucasian,4.,12178556174,295082383,1
Foundation for Chiropractic Progress,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,61 - 70 years,Female,White/Caucasian,4.,12178571108,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,61 - 70 years,Female,White/Caucasian,4.,12178571108,295082383,2
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,,12178434863,295082383,1
International Chiropractic Pediatric Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Female,White/Caucasian,,12178687130,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Male,White/Caucasian,,12178677371,295082383,1
State Chiropractic Association,None of the above,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,Prefer not to answer,3.,12178621947,295082383,1
Vendor of products or services to the chiropractic profession,None of the above,Vendor/Business partner,N/A,61 - 70 years,Male,White/Caucasian,1. Vitalistic,12178619435,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),Over 40 years,71 - 80 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12178660427,295082383,1
American Chiropractic Association (ACA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,71 - 80 years,Male,White/Caucasian,,12178693001,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,71 - 80 years,Male,White/Caucasian,,12178693001,295082383,2
International Chiropractic Association (ICA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Female,White/Caucasian,2.,12178666741,295082383,1
One Chiropractic,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Female,White/Caucasian,2.,12178666741,295082383,2
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Female,White/Caucasian,2.,12178666741,295082383,3
American Chiropractic Association (ACA),Group member practitioner (single location),Young professional (Doctor of Chiropractic with less than 5 years in practice),Less than 5 years,20 - 30 years,Female,White/Caucasian,4.,12178478707,295082383,1
Forward Thinking Chiropractic Alliance,Group member practitioner (single location),Young professional (Doctor of Chiropractic with less than 5 years in practice),Less than 5 years,20 - 30 years,Female,White/Caucasian,4.,12178478707,295082383,2
National Board,Group member practitioner (single location),Young professional (Doctor of Chiropractic with less than 5 years in practice),Less than 5 years,20 - 30 years,Female,White/Caucasian,4.,12178478707,295082383,3
State Chiropractic Association,Group member practitioner (single location),Young professional (Doctor of Chiropractic with less than 5 years in practice),Less than 5 years,20 - 30 years,Female,White/Caucasian,4.,12178478707,295082383,4
State Licensing Board,Group member practitioner (single location),Young professional (Doctor of Chiropractic with less than 5 years in practice),Less than 5 years,20 - 30 years,Female,White/Caucasian,4.,12178478707,295082383,5
American Chiropractic Association (ACA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,4.,12178660076,295082383,1
State Licensing Board,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,4.,12178660076,295082383,2
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,1. Vitalistic,12178666188,295082383,1
State Chiropractic Association,None of the above,College faculty,11 - 20 years,41 - 50 years,Male,White/Caucasian,,12178723988,295082383,1
State Licensing Board,Integrated / multidisciplinary facility,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12178237264,295082383,1
American Chiropractic Association (ACA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,,12178720225,295082383,1
International Chiropractic Pediatric Association,Integrated / multidisciplinary facility,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,31 - 40 years,Female,White/Caucasian,,12178745820,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,,12178772500,295082383,1
State Chiropractic Association,None of the above,College faculty,11 - 20 years,41 - 50 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12178733832,295082383,1
State Licensing Board,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12178267060,295082383,1
National Board,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,41 - 50 years,Male,White/Caucasian,,12178752783,295082383,1
State Licensing Board,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,41 - 50 years,Male,White/Caucasian,,12178752783,295082383,2
International Chiropractic Association (ICA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,,12178788566,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,,12178788566,295082383,2
American Chiropractic Association (ACA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Female,White/Caucasian,3.,12178688200,295082383,1
Foundation for Chiropractic Progress,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Female,White/Caucasian,3.,12178688200,295082383,2
One Chiropractic,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Female,White/Caucasian,3.,12178688200,295082383,3
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Female,White/Caucasian,3.,12178688200,295082383,4
Forward Thinking Chiropractic Alliance,None of the above,Student,Less than 5 years,20 - 30 years,Male,White/Caucasian,,12178805252,295082383,1
Student,None of the above,Student,Less than 5 years,20 - 30 years,Male,White/Caucasian,,12178805252,295082383,2
International Federation of Chiropractors and Organizations (IFCO),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,,1. Vitalistic,12178630871,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),Over 40 years,71 - 80 years,Male,White/Caucasian,,12174806251,295082383,1
State Chiropractic Association,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,31 - 40 years,Female,White/Caucasian,,12178838070,295082383,1
Council on Chiropractic Education,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Male,White/Caucasian,,12178841731,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),Over 40 years,71 - 80 years,Male,White/Caucasian,,12178776273,295082383,1
National Board,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,31 - 40 years,Prefer not to answer,Prefer not to answer,,12178797045,295082383,1
State Chiropractic Association,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,31 - 40 years,Prefer not to answer,Prefer not to answer,,12178797045,295082383,2
State Licensing Board,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,31 - 40 years,Prefer not to answer,Prefer not to answer,,12178797045,295082383,3
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,61 - 70 years,Male,White/Caucasian,3.,12178805934,295082383,1
State Licensing Board,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,61 - 70 years,Male,White/Caucasian,3.,12178805934,295082383,2
International Chiropractic Association (ICA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Male,White/Caucasian,,12178856861,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,41 - 50 years,Male,White/Caucasian,,12178856861,295082383,2
National Board,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12178694949,295082383,1
State Licensing Board,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12178694949,295082383,2
American Chiropractic Association (ACA),Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,41 - 50 years,Male,White/Caucasian,,12178883523,295082383,1
State Chiropractic Association,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,41 - 50 years,Male,White/Caucasian,,12178883523,295082383,2
State Licensing Board,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12178842840,295082383,1
American Chiropractic Association (ACA),Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12178854503,295082383,1
National Board,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12178611598,295082383,1
International Chiropractic Association (ICA),Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,,12178845807,295082383,1
International Chiropractic Association (ICA),Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Male,White/Caucasian,,12178051812,295082383,1
State Chiropractic Association,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Male,White/Caucasian,,12178051812,295082383,2
American Chiropractic Association (ACA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,3.,12178886491,295082383,1
Forward Thinking Chiropractic Alliance,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,3.,12178886491,295082383,2
Foundation for Chiropractic Progress,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,3.,12178886491,295082383,3
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,3.,12178886491,295082383,4
American Chiropractic Association (ACA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Male,Prefer not to answer,,12178949322,295082383,1
International Chiropractic Association (ICA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Male,Prefer not to answer,,12178949322,295082383,2
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Male,Prefer not to answer,,12178949322,295082383,3
State Chiropractic Association,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Male,White/Caucasian,,12178962040,295082383,1
International Chiropractic Association (ICA),Solo practitioner,Young professional (Doctor of Chiropractic with less than 5 years in practice),5 - 10 years,31 - 40 years,Male,White/Caucasian,2.,12178540869,295082383,1
State Chiropractic Association,Solo practitioner,Young professional (Doctor of Chiropractic with less than 5 years in practice),5 - 10 years,31 - 40 years,Male,White/Caucasian,2.,12178540869,295082383,2
American Chiropractic Association (ACA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,2.,12178843926,295082383,1
National Board,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,2.,12178843926,295082383,2
State Licensing Board,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Male,White/Caucasian,2.,12178843926,295082383,3
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12174049334,295082383,1
American Chiropractic Association (ACA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),Over 40 years,61 - 70 years,Male,White/Caucasian,,12178302144,295082383,1
International Chiropractic Association (ICA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),Over 40 years,61 - 70 years,Male,White/Caucasian,,12178302144,295082383,2
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),Over 40 years,61 - 70 years,Male,White/Caucasian,,12178302144,295082383,3
International Chiropractic Pediatric Association,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,41 - 50 years,Male,White/Caucasian,1. Vitalistic,12178921529,295082383,1
One Chiropractic,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,41 - 50 years,Male,White/Caucasian,1. Vitalistic,12178921529,295082383,2
State Chiropractic Association,Group member practitioner (single location),Practicing Doctor of Chiropractic (5 or more years in practice),11 - 20 years,41 - 50 years,Male,White/Caucasian,1. Vitalistic,12178921529,295082383,3
Foundation for Chiropractic Progress,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,31 - 40 years,Male,White/Caucasian,,12178775719,295082383,1
International Chiropractic Pediatric Association,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,31 - 40 years,Male,White/Caucasian,,12178775719,295082383,2
National Board,Multi-location practice,Practicing Doctor of Chiropractic (5 or more years in practice),5 - 10 years,31 - 40 years,Male,White/Caucasian,,12178775719,295082383,3
International Chiropractic Pediatric Association,Group member practitioner (single location),Young professional (Doctor of Chiropractic with less than 5 years in practice),Less than 5 years,20 - 30 years,Male,Asian/Pacific Islander,1. Vitalistic,12178940515,295082383,1
State Chiropractic Association,Group member practitioner (single location),Young professional (Doctor of Chiropractic with less than 5 years in practice),Less than 5 years,20 - 30 years,Male,Asian/Pacific Islander,1. Vitalistic,12178940515,295082383,2
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Female,White/Caucasian,,12178997526,295082383,1
One Chiropractic,Solo practitioner,Patient,N/A,51 - 60 years,Female,White/Caucasian,,12179011057,295082383,1
State Licensing Board,Solo practitioner,Patient,N/A,51 - 60 years,Female,White/Caucasian,,12179011057,295082383,2
Vendor of products or services to the chiropractic profession,Solo practitioner,Patient,N/A,51 - 60 years,Female,White/Caucasian,,12179011057,295082383,3
American Black Chiropractic Association (ABCA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,61 - 70 years,Female,Black/African American,,12178995151,295082383,1
Foundation for Chiropractic Progress,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12176833817,295082383,1
International Chiropractic Association (ICA),Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),21 - 30 years,51 - 60 years,Male,White/Caucasian,,12176833817,295082383,2
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,61 - 70 years,Female,White/Caucasian,,12179054937,295082383,1
State Chiropractic Association,Solo practitioner,Practicing Doctor of Chiropractic (5 or more years in practice),31 - 40 years,51 - 60 years,Male,White/Caucasian,,12179059518,295082383,1
American Chiropractic Association (ACA),Integrated / multidisciplinary facility,Researcher,21 - 30 years,51 - 60 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12179044989,295082383,1
Clinical Compass (CCGPP),Integrated / multidisciplinary facility,Researcher,21 - 30 years,51 - 60 years,Male,White/Caucasian,5. Multi-Disciplinary / Integrated,12179044989,295082383,2
